,,,,,,Total of Displayed Rows,,,"145,106,561","691,533","145,798,094","147,609,685","65,462,721","213,072,406","219,868,448","124,897,313","344,765,761",
Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2025 Actuals,FY 2025 Reconciliation,FY 2025 Total,FY 2026 Discretionary Enacted,FY 2026 PL 119-21 Spend Plan,FY 2026 Total,FY 2027 Discretionary Request,FY 2027 Mandatory Request,FY 2027 Total,Classification
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,61,0603619A,Landmine Warfare and Barrier - Adv Dev,Y,"58,477",,"58,477","34,296",,"34,296","31,374",,"31,374",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,62,0603627A,"Smoke, Obscurant and Target Defeating Sys-Adv Dev",Y,,,,,,,"5,596",,"5,596",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,63,0603639A,Tank and Medium Caliber Ammunition,Y,"108,340",,"108,340","87,972","50,000","137,972","277,248",,"277,248",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,64,0603645A,Armored System Modernization - Adv Dev,Y,"22,387",,"22,387","22,645",,"22,645","23,594",,"23,594",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,65,0603747A,Soldier Support and Survivability,Y,"3,911",,"3,911","4,033",,"4,033","4,109",,"4,109",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,66,0603766A,Tactical Electronic Surveillance System - Adv Dev,Y,"87,765",,"87,765","117,325",,"117,325","98,331",,"98,331",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,67,0603774A,Night Vision Systems Advanced Development,Y,"20,250",,"20,250","19,353",,"19,353","5,310",,"5,310",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,68,0603779A,Environmental Quality Technology - Dem/Val,Y,"22,637",,"22,637","36,343",,"36,343","19,499",,"19,499",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,69,0603790A,NATO Research and Development,Y,"4,031",,"4,031","5,031",,"5,031","5,145",,"5,145",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,70,0603801A,Aviation - Adv Dev,Y,"197,292",,"197,292",,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,71,0603804A,Logistics and Engineer Equipment - Adv Dev,Y,"20,946",,"20,946","40,435","10,000","50,435","12,822",,"12,822",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,72,0603807A,Medical Systems - Adv Dev,Y,"2,071",,"2,071","1,000",,"1,000","1,017",,"1,017",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,73,0603827A,Soldier Systems - Advanced Development,Y,"23,398",,"23,398","49,356",,"49,356","56,122",,"56,122",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,74,0604017A,Robotics Development,Y,"12,563",,"12,563","36,561",,"36,561","20,290",,"20,290",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,75,0604019A,Expanded Mission Area Missile (EMAM),Y,"82,658",,"82,658","58,189","5,000","63,189","235,593",,"235,593",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,76,0604020A,Cross Functional Team (CFT) Advanced Development & Prototyping,Y,"38,934",,"38,934",,"12,000","12,000",,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,77,0604035A,Low Earth Orbit (LEO) Satellite Capability,Y,"21,134",,"21,134","17,063",,"17,063",319,,319,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,78,0604036A,Multi-Domain Sensing System (MDSS) Adv Dev,Y,"188,228",,"188,228","249,188",,"249,188","99,471",,"99,471",U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,79,0604037A,Tactical Intel Targeting Access Node (TITAN) Adv Dev,Y,"4,317",,"4,317","3,092",,"3,092","4,123",,"4,123",U
